created_at,id,lang,text,user,source,hashtags,url
Fri Feb 23 23:23:16 +0000 2018,967178070812712960,en,We support #independent #films. Period! Visit the Soundview collection https://t.co/6GJASWksvw #SupportIndieFilm… https://t.co/G9aTtUPNn9,DanGurlitz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['independent', 'films', 'SupportIndieFilm']","[URL(URL=https://t.co/6GJASWksvw, ExpandedURL=http://soundviewmediapartners.com), URL(URL=https://t.co/G9aTtUPNn9, ExpandedURL=https://twitter.com/i/web/status/967178070812712960)]"
Fri Feb 23 23:23:04 +0000 2018,967178022578135041,en,Remember when crackpot Billy De Moss was lauded as a #chiropractic leader by the Australian Spinal Research Foundat… https://t.co/fc0s6YF3lm,reasonable_hank,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",['chiropractic'],"[URL(URL=https://t.co/fc0s6YF3lm, ExpandedURL=https://twitter.com/i/web/status/967178022578135041)]"
Fri Feb 23 23:22:59 +0000 2018,967178001879306240,en,#YOUNG #PEOPLE Do U desire Daily #Earth or #Eternal Stuff? #EarthStuff like; Climate Change or Youth Power! Or… https://t.co/k8jnQ1MbHG,ourplaceCanada,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['YOUNG', 'PEOPLE', 'Earth', 'Eternal', 'EarthStuff']","[URL(URL=https://t.co/k8jnQ1MbHG, ExpandedURL=https://twitter.com/i/web/status/967178001879306240)]"
Fri Feb 23 23:22:51 +0000 2018,967177967955730432,en,Can Technology Be The Magic Pill That Cures #Health Care? https://t.co/qowcHSFyxN via @forbes #tech https://t.co/SckTdZ7jlx,stratodesk,"<a href=""http://6builder.com"" rel=""nofollow"">6Builder</a>","['Health', 'tech']","[URL(URL=https://t.co/qowcHSFyxN, ExpandedURL=https://www.forbes.com/sites/forbestechcouncil/2018/02/21/can-technology-be-the-magic-pill-that-cures-health-care/#2da96e59671e)]"
Fri Feb 23 23:22:36 +0000 2018,967177903007035393,en,RT @StayYoungMedia: Tips on relief from a great workout! https://t.co/KeOUA1aMZ8 #health #fitness #training #workout,drwoyce24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'fitness', 'training', 'workout']","[URL(URL=https://t.co/KeOUA1aMZ8, ExpandedURL=http://traffic.libsyn.com/stayingyoung2/medicalminute31.mp3)]"
Fri Feb 23 23:22:34 +0000 2018,967177894903468032,en,Six delicious fruits that can help you #LoseWeight - Why not give it a shot? #health #fitness  https://t.co/ial9dKeL9u,michellebullet1,"<a href=""http://www.example.com"" rel=""nofollow"">Tviterion</a>","['LoseWeight', 'health', 'fitness']","[URL(URL=https://t.co/ial9dKeL9u, ExpandedURL=https://tacticalinvestor.com/6-fruits-help-weight-loss/)]"
Fri Feb 23 23:22:20 +0000 2018,967177839446560771,en,https://t.co/SVHi6j64Pq Health is probably the number 1 concern on most people's mind. Let us help you navigate som… https://t.co/4OCX6G8oOB,TheLightGAP,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/SVHi6j64Pq, ExpandedURL=http://bit.ly/2omAvvE), URL(URL=https://t.co/4OCX6G8oOB, ExpandedURL=https://twitter.com/i/web/status/967177839446560771)]"
Fri Feb 23 23:22:01 +0000 2018,967177758441922560,en,Helicobacter Pylori Bacteria in the Gut and Parkinson's Disease https://t.co/AY3XanE8Zh #health,DrGarySharpe,"<a href=""https://www.mytweetpack.com"" rel=""nofollow"">myTweetPack</a>",['health'],"[URL(URL=https://t.co/AY3XanE8Zh, ExpandedURL=http://www.outthinkingparkinsons.com/articles/helicobacter-pylori)]"
Fri Feb 23 23:21:53 +0000 2018,967177726649094144,und,RT @StayYoungMedia: #Blueberries for #Cancer? #superfood #flavonoids #Health #Wellness https://t.co/wnPnPWorlM,drwoyce24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Blueberries', 'Cancer', 'superfood', 'flavonoids', 'Health', 'Wellness']","[URL(URL=https://t.co/wnPnPWorlM, ExpandedURL=http://traffic.libsyn.com/stayingyoung2/medicalminute012418.mp3)]"
Fri Feb 23 23:21:41 +0000 2018,967177673830146049,und,#ViernesDeGanarSeguidores #sport #sports #active #fun #fit #fitness #instasport #gym #training #workout #excercise… https://t.co/VaJ2DW1NBS,caristico2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['ViernesDeGanarSeguidores', 'sport', 'sports', 'active', 'fun', 'fit', 'fitness', 'instasport', 'gym', 'training', 'workout', 'excercise']","[URL(URL=https://t.co/VaJ2DW1NBS, ExpandedURL=https://twitter.com/i/web/status/967177673830146049)]"
