created_at,id,text,user,source,hashtags
Tue Mar 06 19:46:21 +0000 2018,971109748732055553,"Ausgezeichneten Wellnesshotels der 4-5 Sterne Kategorie aus Bayern entdecken! 

Auf: https://t.co/nMGZVFA5Kw… https://t.co/rgOQgVlCiQ",WellnesshotBay,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Tue Mar 06 19:41:50 +0000 2018,971108612214001664,"En #Suède, des #entreprises rendent le #sport obligatoire pour leurs #employés #wellness #bienetre… https://t.co/9uVk5yHgG2",ianbradac,"<a href=""http://app.sociabble.com"" rel=""nofollow"">SociabbleApp</a>","['Suède', 'entreprises', 'sport', 'employés', 'wellness', 'bienetre']"
Tue Mar 06 19:40:12 +0000 2018,971108202107588608,"Du fühlst Dich gestresst? Tolle Wellnessurlaube gibt es übrigens auch bei uns: https://t.co/cwn1WGr5gi 
#wellness… https://t.co/zkKZMSX5Zv",monsterzeug,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['wellness']
Tue Mar 06 19:36:47 +0000 2018,971107343424421889,"#nails #share #liver #health
#wellness
#jaundice https://t.co/wEaXtQCxyN",TheAdventist101,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['nails', 'share', 'liver', 'health', 'wellness', 'jaundice']"
Tue Mar 06 19:19:37 +0000 2018,971103024109293569,#Play #NeverGrowUp #Health #Wellness  https://t.co/lIGHuWS8gl,rogue_med,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Play', 'NeverGrowUp', 'Health', 'Wellness']"
Tue Mar 06 19:05:07 +0000 2018,971099374221709312,#health #selflove #healthyliving #mindfulness #selfcare #choose360 #360living #wellness #wellnessforlife… https://t.co/IeP7e3m02K,360LivingToday,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['health', 'selflove', 'healthyliving', 'mindfulness', 'selfcare', 'choose360', '360living', 'wellness', 'wellnessforlife']"
Tue Mar 06 19:05:02 +0000 2018,971099353124352003,#Fitness #FitnessGoals #FitnessMotivation #Healthy #HealthyNation #WeightLoss #Diet #Wellness #Nutrition #HealthClub https://t.co/fxkzUD6mK9,SevinityWell,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Fitness', 'FitnessGoals', 'FitnessMotivation', 'Healthy', 'HealthyNation', 'WeightLoss', 'Diet', 'Wellness', 'Nutrition', 'HealthClub']"
Tue Mar 06 19:04:55 +0000 2018,971099322724093952,"#estilodevidasaludable #coachenhabitos #tribuhábitos #wellness #mindfulness 
Un hábito hermoso y… https://t.co/ZHn4IEacxg",RevivirNatural,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['estilodevidasaludable', 'coachenhabitos', 'tribuhábitos', 'wellness', 'mindfulness']"
Tue Mar 06 19:01:15 +0000 2018,971098399591337985,#diet #wellness via @Lean4Lifetime https://t.co/xmNnOA4SbQ,coffeighwithk,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>","['diet', 'wellness']"
Tue Mar 06 18:47:39 +0000 2018,971094980101132291,"#StrokeSupport  #Caregivers #wellness @CatLoversLDN 
#nurses @Gilfeather https://t.co/dEPJC2EOXg",Gilfeather,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","['StrokeSupport', 'Caregivers', 'wellness', 'nurses']"
