created_at,id,lang,text,user,source,hashtags,url
Wed Feb 21 22:19:08 +0000 2018,966437157102497792,en,@cbcradio u had a Canadian who said Feb 15 her husband had a fall was transferred to 2 hospitals&amp; had major back su… https://t.co/QniE9mD8Kz,Dia_volo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"[URL(URL=https://t.co/QniE9mD8Kz, ExpandedURL=https://twitter.com/i/web/status/966437157102497792)]"
Wed Feb 21 22:19:06 +0000 2018,966437151029252097,en,The life cycle of a #health trend: How food transforms into a miracle remedy https://t.co/Wk7vN2Lp8R,FlavorSafe,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/Wk7vN2Lp8R, ExpandedURL=https://buff.ly/2EHeYUR)]"
Wed Feb 21 22:19:03 +0000 2018,966437134943965185,en,"RT @NDTVFood: 5 Amazing #Health Benefits of #Brinjal or #Eggplant You May Have Not Heard Before.
https://t.co/fb40YwgEw2 https://t.co/eDUcA…",paliwalim,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[Hashtag(Text='Health'), Hashtag(Text='Brinjal'), Hashtag(Text='Eggplant')]","[URL(URL=https://t.co/fb40YwgEw2, ExpandedURL=http://bit.ly/2DttNts)]"
Wed Feb 21 22:19:01 +0000 2018,966437129978109953,en,"The Best Foods To Help You Relax When You're Stressed Out, According To Science https://t.co/lC9VhGSJsa #health… https://t.co/132DHmNW8V",HHMassageMiami,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/lC9VhGSJsa, ExpandedURL=https://buff.ly/2GuGYeG), URL(URL=https://t.co/132DHmNW8V, ExpandedURL=https://twitter.com/i/web/status/966437129978109953)]"
Wed Feb 21 22:18:55 +0000 2018,966437104019484672,en,Yesterday I ran between two and three miles. Today I ran between four and six all the way down Sumner Ave and back… https://t.co/aqa2ybZN4Y,KyuTheArtist,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"[URL(URL=https://t.co/aqa2ybZN4Y, ExpandedURL=https://twitter.com/i/web/status/966437104019484672)]"
Wed Feb 21 22:18:52 +0000 2018,966437089133789184,en,"@TheLeadCNN This will not end unless LIBERAL MEDIA &amp; TEACHERS STOP STIRRING UP  HATRED AGAINST ""WHITE BOYS""! Damn t… https://t.co/d4bBVx6LDf",doctor_garrett,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/d4bBVx6LDf, ExpandedURL=https://twitter.com/i/web/status/966437089133789184)]"
Wed Feb 21 22:18:51 +0000 2018,966437084322988032,en,RT @AHealthBlog: Seven Superfoods For Your #Health Infographic ➡ https://t.co/3iWhCLWyTN https://t.co/CrF5ivHVxb,Bertjaimejr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[Hashtag(Text='Health')],"[URL(URL=https://t.co/3iWhCLWyTN, ExpandedURL=http://ahealthblog.com/2tom)]"
Wed Feb 21 22:18:41 +0000 2018,966437045810982913,und,#fast #Health --- #FastandFurious https://t.co/JSShEsTx2U,MarxRobby,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Hashtag(Text='fast'), Hashtag(Text='Health'), Hashtag(Text='FastandFurious')]","[URL(URL=https://t.co/JSShEsTx2U, ExpandedURL=http://www.telegraph.co.uk/science/2016/03/12/fasting-for-three-days-can-regenerate-entire-immune-system-study/)]"
Wed Feb 21 22:18:40 +0000 2018,966437041432137731,en,"My body is at war, a war it cannot win. The outcome is uncertain as both protagonists are within
#MS #health… https://t.co/q4kvBIwXG4",gonzoid,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","[Hashtag(Text='MS'), Hashtag(Text='health')]","[URL(URL=https://t.co/q4kvBIwXG4, ExpandedURL=https://twitter.com/i/web/status/966437041432137731)]"
Wed Feb 21 22:18:24 +0000 2018,966436971458514944,en,How important do you think a quality mattress is for children ? https://t.co/e0g6CMXM2i  #Leesa @LeesaSleepUK… https://t.co/UWnlXow46Z,Mrs_Karen_Jones,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='Leesa')],"[URL(URL=https://t.co/e0g6CMXM2i, ExpandedURL=http://www.thewhiteapproachlifestyle.co.uk/2016/09/the-leesa-mattress-for-children.html), URL(URL=https://t.co/UWnlXow46Z, ExpandedURL=https://twitter.com/i/web/status/966436971458514944)]"
Wed Feb 21 22:18:20 +0000 2018,966436954857463808,en,"A monthly update on my #health goals, here's January #mblogger #healthrightnow https://t.co/E2XfGHIyxd",lifecookscabin,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","[Hashtag(Text='health'), Hashtag(Text='mblogger'), Hashtag(Text='healthrightnow')]","[URL(URL=https://t.co/E2XfGHIyxd, ExpandedURL=http://dld.bz/g4hyC)]"
Wed Feb 21 22:18:09 +0000 2018,966436909923827712,en,RT @anticancerclub: Choosing #vegan for food and for life #Kindness #Health #organic https://t.co/kvjmG67U5x https://t.co/yL6E8HrC3A,nic_mclean,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[Hashtag(Text='vegan'), Hashtag(Text='Kindness'), Hashtag(Text='Health'), Hashtag(Text='organic')]","[URL(URL=https://t.co/kvjmG67U5x, ExpandedURL=http://bit.ly/2tz1GmQ)]"
Wed Feb 21 22:18:07 +0000 2018,966436902621425664,en,The High Cost of Surviving Rabies https://t.co/UhnW4xc0AF #health,JTWHealth,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/UhnW4xc0AF, ExpandedURL=http://dlvr.it/QHJMWR)]"
