created_at,id,text,user,source,hashtags
Sat Mar 03 20:00:38 +0000 2018,970026181817970688,"RT @WholeFoodsMag: Quality vision propels @NOWFoods into next 50 years.
https://t.co/qUAKeL3uSi #supplements #health https://t.co/c2jaiTDS7m",ForLifeForLess,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['supplements', 'health']"
Sat Mar 03 20:00:31 +0000 2018,970026151090511872,Can Endurance Training Ever Really Be Primal? https://t.co/692z0Ug5dW via @@Mark_Sisson #health #fitness #motivation,CompleteScrub,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","['health', 'fitness', 'motivation']"
Sat Mar 03 20:00:30 +0000 2018,970026147554775043,Create the perfect #health and #body you are dreaming of https://t.co/zPK3uDbNpH https://t.co/VPcurjSC0B,FancyLearn,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['health', 'body']"
Sat Mar 03 20:00:30 +0000 2018,970026146736820229,Accrol : Update on Health and Safety Incident #health https://t.co/jvDxjZw9hY,NambozoRose,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",['health']
Sat Mar 03 20:00:27 +0000 2018,970026133457686528,Ascom Wins Agreement with IDN Munson Healthcare #health https://t.co/DVTg8ZeoZo - 🚀 Grow your followers by posting… https://t.co/XgHPtbjogN,nmolonia,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",['health']
Sat Mar 03 20:00:23 +0000 2018,970026116453928960,"Our hot selling product: Transdermal ... , see at https://t.co/3kTbdIPHWD
#nutrition #health #supplements #vitamins https://t.co/xAIGuh3dPs",Pure_Science_S,"<a href=""https://bestsellers.shoptimizer.co"" rel=""nofollow"">BestSellers for Shopify</a>","['nutrition', 'health', 'supplements', 'vitamins']"
Sat Mar 03 20:00:21 +0000 2018,970026109625610243,How to Setup an Ergonomic Office Desk : Easy Steps https://t.co/pQl2yJR71E #ergonomics #health,Health_Form1,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['ergonomics', 'health']"
Sat Mar 03 20:00:21 +0000 2018,970026108782567425,Oracle : Health Sciences Study Reveals Top Challenges and Opportunities for RTSM/IRT Solutions #health https://t.co/FPVjC46GtQ,Playheals,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",['health']
Sat Mar 03 20:00:20 +0000 2018,970026104940621824,"Evidence of Bias in Cannabis-Harm Studies: https://t.co/imYUeWRqX9.
First impressions aren't blind so if you look l… https://t.co/v2fVruyo70",PROHBTD,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[]
Sat Mar 03 20:00:19 +0000 2018,970026101283147777,Reduce #stress &amp; enter deep meditative states reliably &amp; easily https://t.co/ZbWPGcTIEY #health #binauralbeat brainwaves,livingHIdeas,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['stress', 'health', 'binauralbeat']"
Sat Mar 03 20:00:18 +0000 2018,970026097013395456,#BokChoy ranks as a good source of omega-3s. Read more at https://t.co/IdXSw1xS37 #NaturalHealth #diet #health… https://t.co/fGhr6oO4Kc,DoveMed,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['BokChoy', 'NaturalHealth', 'diet', 'health']"
Sat Mar 03 20:00:18 +0000 2018,970026096103251968,"Two Day Computer System Validation Training Course: Reduce Costs and Avoid 483s (Scottsdale, United States - Januar… https://t.co/BXvc27IHHt",BrettCa80122724,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",[]
Sat Mar 03 20:00:17 +0000 2018,970026091942473729,"Please check out this free documentary about EPA refusing to acknowledge and clean up nuclear waste, subjecting res… https://t.co/KPX47qeA6H",beauxbeautyblog,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Sat Mar 03 20:00:15 +0000 2018,970026086133268480,Healthy Eating Tips https://t.co/3UBjtiyRsN #weightloss #fatloss #Health #healthy #diet #exercise #fitness #tips https://t.co/nT1sLYqRdL,OnFitnessHealth,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['weightloss', 'fatloss', 'Health', 'healthy', 'diet', 'exercise', 'fitness', 'tips']"
Sat Mar 03 20:00:15 +0000 2018,970026084585689089,#fitnessmotivation #motivationneogym #кишинев #кишинёв #молдова #молдавия #moldova #moldova_mea #health #fitness… https://t.co/weiBJITWV9,NEOGYM_FITNESS,"<a href=""https://hooppy.ru"" rel=""nofollow"">Hooppy</a>","['fitnessmotivation', 'motivationneogym', 'кишинев', 'кишинёв', 'молдова', 'молдавия', 'moldova', 'moldova_mea', 'health', 'fitness']"
Sat Mar 03 20:00:14 +0000 2018,970026081557385216,"How I train: Verity Ockenden https://t.co/CKnQRicjgJ
#running #runner #run #marathon #c25k #training #workout… https://t.co/zy5K2J6321",Running_GoalsUK,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['running', 'runner', 'run', 'marathon', 'c25k', 'training', 'workout']"
Sat Mar 03 20:00:12 +0000 2018,970026073751777282,"Best #Workout, #Lifting and #Health News https://t.co/z9n2hmchzf",PekkaPuhakka,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","['Workout', 'Lifting', 'Health']"
Sat Mar 03 20:00:12 +0000 2018,970026070962593792,ADVICE: Why You Shouldn't Eat Spicy Food Close To Bed Time. READ the article &gt;&gt;&gt; https://t.co/E6RNzs6U2U &lt;&lt;&lt; #food… https://t.co/PlEHUhV7cE,totalqsr,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>",['food']
Sat Mar 03 20:00:11 +0000 2018,970026066738806787,5. Imagination: Visualize your success. What the mind can conceive and believe it can achieve. #thinkandgrowrich #money #health,ThinkAndGrowBot,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['thinkandgrowrich', 'money', 'health']"
Sat Mar 03 20:00:08 +0000 2018,970026054076325890,"7 Easy, Healthy Dinners to Cook This Week  #health https://t.co/dP5oirRK5w",youbfit,"<a href=""http://www.you-be-fit.com/"" rel=""nofollow"">Tweet2merriman</a>",['health']
Sat Mar 03 20:00:07 +0000 2018,970026052427763713,#Wellness: Here are 8 reasons why children should learn self-defense techniques https://t.co/vOSwCjPaWT #Health… https://t.co/mQH7CjfTfm,latampost,"<a href=""http://latinamericanpost.com/index.php"" rel=""nofollow"">Posteador_ruby_on_rails</a>","['Wellness', 'Health']"
Sat Mar 03 20:00:07 +0000 2018,970026051152875520,It's important to be aware of what is in the food you eat. #health https://t.co/JCEppIBnVU https://t.co/qX3bXBGwvZ,Team_Volcano,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>",['health']
Sat Mar 03 20:00:05 +0000 2018,970026041598242818,This #summit will bring together keys #healthcare stakeholders and political elites for a #policy dialogue on how t… https://t.co/bPnFgwo1ib,ifijehmartins,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['summit', 'healthcare', 'policy']"
Sat Mar 03 20:00:04 +0000 2018,970026040100839427,#Marge #and #bart #fucking #Celebrity #health #causes #Buy #jean #skirt  CLICK HERE 👉👉 https://t.co/2remywAdmt 👈👈,TatyanaSumakova,"<a href=""http://google.ru"" rel=""nofollow"">DianeHernandez393824</a>","['Marge', 'and', 'bart', 'fucking', 'Celebrity', 'health', 'causes', 'Buy', 'jean', 'skirt']"
Sat Mar 03 20:00:02 +0000 2018,970026029694808064,#gender #equality - your #Doctor gets it #HeforShe @emmawatson #poli #health,deldhanoa,"<a href=""http://www.dhanoa.net/twitb"" rel=""nofollow"">thetwitterapplicationb</a>","['gender', 'equality', 'Doctor', 'HeforShe', 'poli', 'health']"
Sat Mar 03 20:00:01 +0000 2018,970026026477719554,10 Signs of #Candida! Learn more by reading our #Vitality Blog to find out about quick home test for #candida! clic… https://t.co/JHHXBqsCYd,KISMETNutrients,"<a href=""https://eclincher.com"" rel=""nofollow"">eClincher</a>","['Candida', 'Vitality', 'candida']"
Sat Mar 03 20:00:01 +0000 2018,970026024590348291,#KISMET #Candida #Supplement &amp; 7 #Foods for Good #Gut #Health! Do u want to know how KISMET Candida can help preven… https://t.co/6OmGkyTmKg,KISMETNutrients,"<a href=""https://eclincher.com"" rel=""nofollow"">eClincher</a>","['KISMET', 'Candida', 'Supplement', 'Foods', 'Gut', 'Health']"
Sat Mar 03 19:59:56 +0000 2018,970026004210159616,RT @BethFratesMD: Success seems to be connected with action... #DontQuit #Success https://t.co/OGrof8shIA RT @HealingMB  #Health #Happiness…,TanRob22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['DontQuit', 'Success', 'Health', 'Happiness']"
Sat Mar 03 19:59:52 +0000 2018,970025989957922817,Enzime that aids digestion and relieves pain and inflammation of the stomach https://t.co/95Rrowo2cs #Health https://t.co/00shAaEuER,SuperflacosUSA,"<a href=""https://octopusocial.com"" rel=""nofollow"">OctopuSocial Inc</a>",['Health']
Sat Mar 03 19:59:37 +0000 2018,970025925009117185,"Raphael Mechoulam ~ The Grandfather of Cannabis 📽️
https://t.co/Ubw85IajWi
#health #science #cannabis #cannabinoids… https://t.co/wqLJXvNa6m",CBDfix,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'science', 'cannabis', 'cannabinoids']"
Sat Mar 03 19:59:23 +0000 2018,970025867761061889,#health #nutrition https://t.co/IzoF0AIADV,palmografos,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['health', 'nutrition']"
Sat Mar 03 19:59:17 +0000 2018,970025840783314945,Enjoy your Saturday with a smoothie and some sunshine 💛☀️😊 #Smoothie #Health #Fitness #Weekend #SunnyDay… https://t.co/xsUN9cHNGh,SmoothieKing417,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Smoothie', 'Health', 'Fitness', 'Weekend', 'SunnyDay']"
Sat Mar 03 19:59:16 +0000 2018,970025836458991616,RT @youngevity: Food is a powerful tool. #nutrition #diet #health #natural https://t.co/o9aaiqZZAK,V4hlHvS2cBpV5PY,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['nutrition', 'diet', 'health', 'natural']"
Sat Mar 03 19:59:16 +0000 2018,970025835456446464,@RjMitte @PACSOLSTICE @StrengthSupport #usveterans #CerebralPalsyAwareness #health Great Causes Coming Together https://t.co/AFTokAdjiM,OrangeCountyTx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['usveterans', 'CerebralPalsyAwareness', 'health']"
Sat Mar 03 19:59:15 +0000 2018,970025831874510848,"Find The Lost Ways Here are examples of ""F https://t.co/CdKESTtS8D #health,#menshealth,#womenshealth,#lawofattraction,#abundance,#wellbeing",Newvanangel,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['health', 'menshealth', 'womenshealth', 'lawofattraction', 'abundance', 'wellbeing']"
Sat Mar 03 19:59:13 +0000 2018,970025826698735616,RT @LifeExtension: Agree? Tell us why! #inflammation #health https://t.co/XIxTkMwdxJ,Justmemarie2,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","['inflammation', 'health']"
Sat Mar 03 19:59:12 +0000 2018,970025821992865792,Workout Outfit BLk apron top crop top BLK/BLk Mesh leggin w Edbl elastic waistbands ❤️ #Nike #fitness #health… https://t.co/ur5oONsaTc,talkfashion1k,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Nike', 'fitness', 'health']"
Sat Mar 03 19:59:12 +0000 2018,970025818872320000,Are you dreaming of the summer like us? Blueberry coconut dream is fiber rich and packed with antioxidant superstar… https://t.co/Dsnt21ZDmw,fuelplus,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
