created_at,id,text,user,source,hashtags
Mon Mar 05 23:24:09 +0000 2018,970802172723068928,Is your testosterone too low? Know the signs. #fitness #bodybuilding #health #wellness #menshealth #wellbeing https://t.co/eKM1UsntHk,360Success,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['fitness', 'bodybuilding', 'health', 'wellness', 'menshealth', 'wellbeing']"
Mon Mar 05 23:24:03 +0000 2018,970802148001943552,Movement Recovery Exercise for Parkinson's Disease https://t.co/qUEzSHhIzw #health,DrGarySharpe,"<a href=""https://www.mytweetpack.com"" rel=""nofollow"">myTweetPack</a>",['health']
Mon Mar 05 23:23:37 +0000 2018,970802037570064387,"Like It Or Not, Personal #Health Technology Is Getting Smarter https://t.co/GxnxnLB61u #HIMSS18",HarlowOnHC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Health', 'HIMSS18']"
Mon Mar 05 23:23:32 +0000 2018,970802016950849536,"""Trump Administration Delays Decision on Scaling Back Medicaid in Arkansas"" by ABBY GOODNOUGH via NYT… https://t.co/PNkfF80tw3",TheOrganicBay,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",[]
Mon Mar 05 23:23:17 +0000 2018,970801956523520002,"""Trump Administration Delays Decision on Scaling Back Medicaid in Arkansas"" by ABBY GOODNOUGH via NYT https://t.co/j6ME32E6WS #Health",DavidMa50592543,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",['Health']
Mon Mar 05 23:23:13 +0000 2018,970801938374721536,"Struggle with weight loss? Let us help you reach your goals!! 💪
Message us for details! 
#JoinUs
#LifeChangers… https://t.co/NGEHcUSNTl",WolfepackHealth,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['JoinUs', 'LifeChangers']"
Mon Mar 05 23:23:06 +0000 2018,970801907924131840,4 Ways To Avoid Social Media Overload (Without Ouitting Completely) → https://t.co/VItx9cvQoI | via @FastCompany… https://t.co/fKEXXuxVCu,timpsnider,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Mon Mar 05 23:22:49 +0000 2018,970801838478905344,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/1xV4LnTDLo,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:22:49 +0000 2018,970801838478905344,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/1xV4LnTDLo,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:22:34 +0000 2018,970801773874155520,"Please RT if you like!! #health #fitness  Healthy Body, Healthy Mind https://t.co/6KanI50iEA https://t.co/r6WdKuoNJH",healthypremium,"<a href=""http://healthpremium.net/"" rel=""nofollow"">RSS healthypremium</a>","['health', 'fitness']"
