created_at,id,lang,text,user,source,hashtags,url
Sun Mar 04 07:08:02 +0000 2018,970194137646620672,en,"🆕START YOUR OWN BUSINESS FREE!!!
https://t.co/XjtCHRXb2C

💰- 100% Commissions Paid Out Weekly
💻- FREE Personalized… https://t.co/zYI2Jw6stl",CBDOilProducts,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/XjtCHRXb2C, ExpandedURL=https://freehempbiz.info), URL(URL=https://t.co/zYI2Jw6stl, ExpandedURL=https://twitter.com/i/web/status/970194137646620672)]"
Sun Mar 04 07:07:32 +0000 2018,970194010789765120,en,RT @westaustralian: WA has more anti-vax hot spot postcodes per capita than any other state https://t.co/sKpx2Eergp #health #perthnews,Zanash4,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","['health', 'perthnews']","[URL(URL=https://t.co/sKpx2Eergp, ExpandedURL=http://bit.ly/2HYRtsm)]"
Sun Mar 04 07:07:31 +0000 2018,970194008164085761,en,RT @wef: Scientists have created a silicon beating heart https://t.co/pdXLgA7tIN #health https://t.co/1HUFtVhBfY,vspispice1310,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",['health'],"[URL(URL=https://t.co/pdXLgA7tIN, ExpandedURL=http://wef.ch/2FNOi6b)]"
Sun Mar 04 07:07:29 +0000 2018,970194000983547905,en,Clay Richie: Playing Politics with Purpose By Simon Kolawole https://t.co/IAdisIl7pB #News #Nigeria #Africa… https://t.co/Xq5YJQ8on3,Richie_Clay,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['News', 'Nigeria', 'Africa']","[URL(URL=https://t.co/IAdisIl7pB, ExpandedURL=https://goo.gl/gJFSKe), URL(URL=https://t.co/Xq5YJQ8on3, ExpandedURL=https://twitter.com/i/web/status/970194000983547905)]"
Sun Mar 04 07:07:11 +0000 2018,970193924039086080,en,Top 8 Food Allergies! #food #health https://t.co/B3jEqrcy8U,healthywithgod,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","['food', 'health']",[]
Sun Mar 04 07:06:57 +0000 2018,970193866161905664,en,"4000 People Will Die While You Watch A Movie
300M People Have No Access To Heart Surgery
Fighting A Global Pandemic… https://t.co/pyJIhHs0HW",CharlesLaverty_,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>",[],"[URL(URL=https://t.co/pyJIhHs0HW, ExpandedURL=https://twitter.com/i/web/status/970193866161905664)]"
Sun Mar 04 07:06:55 +0000 2018,970193858066722817,en,"6 Really Good Things That Happen to Your Body When You Quit Sugar - https://t.co/nX5H0aLf0Z, , #HEALTH",nvision_360,"<a href=""http://www.nvision360.com"" rel=""nofollow"">nvision360</a>",['HEALTH'],"[URL(URL=https://t.co/nX5H0aLf0Z, ExpandedURL=http://www.epicnewstoday.com/6-really-good-things-that-happen-to-your-body-when-you-quit-sugar/)]"
Sun Mar 04 07:06:54 +0000 2018,970193852706508800,en,RT @grants4apps: Calling Turkish #Digital #Health entrepreneurs. Bayer #G4A Accelerator Turkey program is accepting applications until TOMO…,ranci1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Digital', 'Health', 'G4A']",[]
Sun Mar 04 07:06:52 +0000 2018,970193844456140800,en,"For the ultimate in flavor and #health, you can't beat #garlic and fresh #herbs and luckily we have a #salsa which… https://t.co/lmTtL05lE4",ChefLarryEdward,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'garlic', 'herbs', 'salsa']","[URL(URL=https://t.co/lmTtL05lE4, ExpandedURL=https://twitter.com/i/web/status/970193844456140800)]"
Sun Mar 04 07:06:49 +0000 2018,970193833613918208,en,"This Anti-Wrinkle Pillow Has Hundreds of 5-Star Reviews on Amazon - https://t.co/msWVgTtxdP, , #HEALTH",nvision_360,"<a href=""http://www.nvision360.com"" rel=""nofollow"">nvision360</a>",['HEALTH'],"[URL(URL=https://t.co/msWVgTtxdP, ExpandedURL=http://www.latesttop.news/this-anti-wrinkle-pillow-has-hundreds-of-5-star-reviews-on-amazon/)]"
Sun Mar 04 07:06:40 +0000 2018,970193795190059008,en,RT @SergioBibik: I don't do drugs. I am drugs.😘https://t.co/8qU3MBLGsq #health #healthy #healthyliving #healthylife #fitness #fitnessjourne…,SergioBibik,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'healthy', 'healthyliving', 'healthylife', 'fitness']","[URL(URL=https://t.co/8qU3MBLGsq, ExpandedURL=http://www.vkrasnoznamenske.ru/news/detail/225161/)]"
Sun Mar 04 07:06:20 +0000 2018,970193711249240064,en,"8 Women Share the Foreplay Moves That Always Get Them in the Mood - https://t.co/0oyzA8pxI5, , #HEALTH",nvision_360,"<a href=""http://www.nvision360.com"" rel=""nofollow"">nvision360</a>",['HEALTH'],"[URL(URL=https://t.co/0oyzA8pxI5, ExpandedURL=http://www.thenationalnews.news/8-women-share-the-foreplay-moves-that-always-get-them-in-the-mood/)]"
Sun Mar 04 07:06:15 +0000 2018,970193689581506560,en,A good conversation about something we all should know by now (or so we thought) about how alcohol is bad for us… https://t.co/vHnbbmsK9n,HPBMRG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/vHnbbmsK9n, ExpandedURL=https://twitter.com/i/web/status/970193689581506560)]"
Sun Mar 04 07:06:13 +0000 2018,970193682413563904,en,#health #beauty Buy Now: $34.99 Member s Mark Nicotine Transdermal System Step 1 Clear Patches 21 Patches 3 2019… https://t.co/YtzBgSdxKr,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']","[URL(URL=https://t.co/YtzBgSdxKr, ExpandedURL=https://twitter.com/i/web/status/970193682413563904)]"
