created_at,id,lang,text,user,source,hashtags,url
Tue Feb 20 19:59:17 +0000 2018,966039576430170120,en,RT @wef: A new report says we should tax meat-eaters like smokers https://t.co/q2hTKpYZxW #health https://t.co/7pQZmcRgG2,iamssrrk,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/q2hTKpYZxW, ExpandedURL=http://wef.ch/2EEtX1I)]"
Tue Feb 20 19:59:14 +0000 2018,966039561016168449,en,"RT @salaciousdrinks: Hydrate with your selection of @salaciousdrinks 
#watertryit #health #TuesdayThoughts https://t.co/Kc90VFwUe3",Unify_Water,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='watertryit'), Hashtag(Text='health'), Hashtag(Text='TuesdayThoughts')]",[]
Tue Feb 20 19:59:12 +0000 2018,966039554984562688,en,"RT @lifesanattitude: #Health #Wellness Series!💪 #AgingGreatFULLy🎤 welcomes @hcoachacademy ""YOUR Health-Self-Life Journey🌄: Staying the Cour…",MoMo_SanDiego,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[Hashtag(Text='Health'), Hashtag(Text='Wellness'), Hashtag(Text='AgingGreatFULLy')]",[]
Tue Feb 20 19:59:06 +0000 2018,966039530192154624,en,"RT @WYP_KirkRural: Everyday is a good day with Oscar@stationmoggy🐾👮‍♂️🚓thee best meet,greet and goodnight at the end of a shift #Health #We…",giddings3_g,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",[Hashtag(Text='Health')],[]
Tue Feb 20 19:59:03 +0000 2018,966039515902066688,en,RT @wef: A new report says we should tax meat-eaters like smokers https://t.co/q2hTKpYZxW #health https://t.co/7pQZmcRgG2,SeanTGordon,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/q2hTKpYZxW, ExpandedURL=http://wef.ch/2EEtX1I)]"
Tue Feb 20 19:59:02 +0000 2018,966039512097882114,en,"The only 5 lifestyle changes you need to make to get fit and healthy, according to Ayurveda #health #ayurveda... https://t.co/7YqCarMgNe",HealthyLivingGd,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","[Hashtag(Text='health'), Hashtag(Text='ayurveda')]","[URL(URL=https://t.co/7YqCarMgNe, ExpandedURL=https://fb.me/I7ht5UyI)]"
Tue Feb 20 19:59:01 +0000 2018,966039508566335493,en,"REMEMBER TO CELEBRATE YOUR UNIQUENESS
https://t.co/wMyqy5DKQV 
#creativity #diversity #Spirituality #depression… https://t.co/UDD6kfdIAa",MassCreativity,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","[Hashtag(Text='creativity'), Hashtag(Text='diversity'), Hashtag(Text='Spirituality'), Hashtag(Text='depression')]","[URL(URL=https://t.co/wMyqy5DKQV, ExpandedURL=http://bit.ly/2kJ2Dt9), URL(URL=https://t.co/UDD6kfdIAa, ExpandedURL=https://twitter.com/i/web/status/966039508566335493)]"
Tue Feb 20 19:59:00 +0000 2018,966039505558962176,en,Why heart attack symptoms are missed in women https://t.co/LGUCBbkHK4 #health #wellness #hearthealth #heartmonth… https://t.co/a6EtbsDa7B,TXERCareIrving,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","[Hashtag(Text='health'), Hashtag(Text='wellness'), Hashtag(Text='hearthealth'), Hashtag(Text='heartmonth')]","[URL(URL=https://t.co/LGUCBbkHK4, ExpandedURL=http://ow.ly/ToGI30iw1TH), URL(URL=https://t.co/a6EtbsDa7B, ExpandedURL=https://twitter.com/i/web/status/966039505558962176)]"
Tue Feb 20 19:59:00 +0000 2018,966039505483501568,en,Why heart attack symptoms are missed in women https://t.co/RPgqRkMkJQ #health #wellness #hearthealth #heartmonth… https://t.co/XjhEr0kfLn,TXERCareLubbock,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","[Hashtag(Text='health'), Hashtag(Text='wellness'), Hashtag(Text='hearthealth'), Hashtag(Text='heartmonth')]","[URL(URL=https://t.co/RPgqRkMkJQ, ExpandedURL=http://ow.ly/ToGI30iw1TH), URL(URL=https://t.co/XjhEr0kfLn, ExpandedURL=https://twitter.com/i/web/status/966039505483501568)]"
Tue Feb 20 19:59:00 +0000 2018,966039505462587395,en,Why heart attack symptoms are missed in women https://t.co/MEvhC5l8wl #health #wellness #hearthealth #heartmonth… https://t.co/7vjCI59ICT,TXERCareHouston,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","[Hashtag(Text='health'), Hashtag(Text='wellness'), Hashtag(Text='hearthealth'), Hashtag(Text='heartmonth')]","[URL(URL=https://t.co/MEvhC5l8wl, ExpandedURL=http://ow.ly/ToGI30iw1TH), URL(URL=https://t.co/7vjCI59ICT, ExpandedURL=https://twitter.com/i/web/status/966039505462587395)]"
